/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
🔥 [指挥部介入] 正在从真实的 Parquet 矿脉中构建全局词表...
✅ 词表重塑完毕！(模型不再是文盲！)
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/train-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
[2026-02-25 18:19:05] Running dummy_scienceqa/liquid_real_train on device=cuda
[2026-02-25 18:28:23] [dummy_scienceqa/liquid_real_train] epoch=4 step=660 loss=0.4475 acc=0.8252
[2026-02-25 18:28:26] [dummy_scienceqa/liquid_real_train] epoch=4 step=680 loss=0.4472 acc=0.8255
[2026-02-25 18:28:29] [dummy_scienceqa/liquid_real_train] epoch=4 step=700 loss=0.4480 acc=0.8257
[2026-02-25 18:28:31] [dummy_scienceqa/liquid_real_train] epoch=4 step=720 loss=0.4492 acc=0.8254
[2026-02-25 18:28:34] [dummy_scienceqa/liquid_real_train] epoch=4 step=740 loss=0.4494 acc=0.8251
[2026-02-25 18:28:37] [dummy_scienceqa/liquid_real_train] epoch=4 step=760 loss=0.4497 acc=0.8257
[2026-02-25 18:28:40] [dummy_scienceqa/liquid_real_train] epoch=4 step=780 loss=0.4477 acc=0.8262
[2026-02-25 18:29:18] [dummy_scienceqa/liquid_real_train] epoch=5 step=20 loss=0.3041 acc=0.8844
[2026-02-25 18:29:21] [dummy_scienceqa/liquid_real_train] epoch=5 step=40 loss=0.3088 acc=0.8766
[2026-02-25 18:29:24] [dummy_scienceqa/liquid_real_train] epoch=5 step=60 loss=0.3237 acc=0.8750
[2026-02-25 18:29:27] [dummy_scienceqa/liquid_real_train] epoch=5 step=80 loss=0.3379 acc=0.8719
[2026-02-25 18:29:30] [dummy_scienceqa/liquid_real_train] epoch=5 step=100 loss=0.3335 acc=0.8712
[2026-02-25 18:29:33] [dummy_scienceqa/liquid_real_train] epoch=5 step=120 loss=0.3449 acc=0.8698
[2026-02-25 18:29:36] [dummy_scienceqa/liquid_real_train] epoch=5 step=140 loss=0.3467 acc=0.8683
[2026-02-25 18:29:39] [dummy_scienceqa/liquid_real_train] epoch=5 step=160 loss=0.3433 acc=0.8660
[2026-02-25 18:29:42] [dummy_scienceqa/liquid_real_train] epoch=5 step=180 loss=0.3529 acc=0.8639
[2026-02-25 18:29:45] [dummy_scienceqa/liquid_real_train] epoch=5 step=200 loss=0.3512 acc=0.8638
[2026-02-25 18:29:48] [dummy_scienceqa/liquid_real_train] epoch=5 step=220 loss=0.3483 acc=0.8648
[2026-02-25 18:29:52] [dummy_scienceqa/liquid_real_train] epoch=5 step=240 loss=0.3446 acc=0.8641
[2026-02-25 18:29:54] [dummy_scienceqa/liquid_real_train] epoch=5 step=260 loss=0.3437 acc=0.8632
[2026-02-25 18:29:57] [dummy_scienceqa/liquid_real_train] epoch=5 step=280 loss=0.3427 acc=0.8636
[2026-02-25 18:30:00] [dummy_scienceqa/liquid_real_train] epoch=5 step=300 loss=0.3414 acc=0.8631
[2026-02-25 18:30:03] [dummy_scienceqa/liquid_real_train] epoch=5 step=320 loss=0.3434 acc=0.8625
[2026-02-25 18:30:06] [dummy_scienceqa/liquid_real_train] epoch=5 step=340 loss=0.3437 acc=0.8632
[2026-02-25 18:30:09] [dummy_scienceqa/liquid_real_train] epoch=5 step=360 loss=0.3473 acc=0.8620
[2026-02-25 18:30:12] [dummy_scienceqa/liquid_real_train] epoch=5 step=380 loss=0.3494 acc=0.8612
[2026-02-25 18:30:15] [dummy_scienceqa/liquid_real_train] epoch=5 step=400 loss=0.3543 acc=0.8619
[2026-02-25 18:30:18] [dummy_scienceqa/liquid_real_train] epoch=5 step=420 loss=0.3553 acc=0.8619
[2026-02-25 18:30:21] [dummy_scienceqa/liquid_real_train] epoch=5 step=440 loss=0.3529 acc=0.8622
[2026-02-25 18:30:23] [dummy_scienceqa/liquid_real_train] epoch=5 step=460 loss=0.3552 acc=0.8617
[2026-02-25 18:30:27] [dummy_scienceqa/liquid_real_train] epoch=5 step=480 loss=0.3536 acc=0.8625
[2026-02-25 18:30:30] [dummy_scienceqa/liquid_real_train] epoch=5 step=500 loss=0.3496 acc=0.8635
[2026-02-25 18:30:33] [dummy_scienceqa/liquid_real_train] epoch=5 step=520 loss=0.3520 acc=0.8629
[2026-02-25 18:30:36] [dummy_scienceqa/liquid_real_train] epoch=5 step=540 loss=0.3532 acc=0.8626
[2026-02-25 18:30:39] [dummy_scienceqa/liquid_real_train] epoch=5 step=560 loss=0.3523 acc=0.8627
[2026-02-25 18:30:42] [dummy_scienceqa/liquid_real_train] epoch=5 step=580 loss=0.3516 acc=0.8623
[2026-02-25 18:30:45] [dummy_scienceqa/liquid_real_train] epoch=5 step=600 loss=0.3485 acc=0.8625
[2026-02-25 18:30:49] [dummy_scienceqa/liquid_real_train] epoch=5 step=620 loss=0.3491 acc=0.8618
[2026-02-25 18:30:52] [dummy_scienceqa/liquid_real_train] epoch=5 step=640 loss=0.3488 acc=0.8613
[2026-02-25 18:30:55] [dummy_scienceqa/liquid_real_train] epoch=5 step=660 loss=0.3506 acc=0.8602
[2026-02-25 18:30:58] [dummy_scienceqa/liquid_real_train] epoch=5 step=680 loss=0.3528 acc=0.8604
[2026-02-25 18:31:00] [dummy_scienceqa/liquid_real_train] epoch=5 step=700 loss=0.3537 acc=0.8592
[2026-02-25 18:31:04] [dummy_scienceqa/liquid_real_train] epoch=5 step=720 loss=0.3539 acc=0.8582
[2026-02-25 18:31:06] [dummy_scienceqa/liquid_real_train] epoch=5 step=740 loss=0.3547 acc=0.8583
[2026-02-25 18:31:10] [dummy_scienceqa/liquid_real_train] epoch=5 step=760 loss=0.3533 acc=0.8582
[2026-02-25 18:31:13] [dummy_scienceqa/liquid_real_train] epoch=5 step=780 loss=0.3533 acc=0.8583
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
{'dataset': 'dummy_scienceqa', 'experiment': 'liquid_real_train', 'seed': 3407, 'run_dir': 'outputs/runs/dummy_scienceqa/liquid_real_train/seed_3407', 'best_val_accuracy': 0.7210563546333412, 'test_accuracy': 0.7210563546333412, 'avg_steps': 1.0}
